Subject,Run,Volume,File,Dice,Jaccard
2006-T1,run1,vol0017,('test-GT-masks-WSU/binary/bin_mask_zpr_2006-T1_run1_vol0017.nii.gz',0.919326723,0.850698054
2013-T1,run1,vol0043,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0043.nii.gz',0.964183271,0.930843532
2013-T1,run1,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0060.nii.gz',0.962090909,0.92695111
2013-T1,run1,vol0078,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0078.nii.gz',0.950148284,0.905030966
2013-T1,run1,vol0127,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0127.nii.gz',0.95110929,0.906776369
2013-T1,run1,vol0160,('test-GT-masks-WSU/binary/bin_mask_zpr_2013-T1_run1_vol0160.nii.gz',0.960813165,0.924581766
2019-T1,run1,vol0121,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run1_vol0121.nii.gz',0.890505016,0.80262202
2019-T1,run1,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run1_vol0150.nii.gz',0.890769839,0.803052306
2019-T1,run2,vol0100,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run2_vol0100.nii.gz',0.938928068,0.884886444
2019-T1,run2,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2019-T1_run2_vol0170.nii.gz',0.888272524,0.799002111
2020-T2,run2,vol0070,('test-GT-masks-WSU/binary/bin_mask_zpr_2020-T2_run2_vol0070.nii.gz',0.957835674,0.919083118
2020-T2,run2,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2020-T2_run2_vol0115.nii.gz',0.965232253,0.932800889
2020-T2,run2,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2020-T2_run2_vol0170.nii.gz',0.962026834,0.92683202
2029-T1,run2,vol0030,('test-GT-masks-WSU/binary/bin_mask_zpr_2029-T1_run2_vol0030.nii.gz',0.947906315,0.900971413
2029-T1,run2,vol0140,('test-GT-masks-WSU/binary/bin_mask_zpr_2029-T1_run2_vol0140.nii.gz',0.947444439,0.900137186
2031-T1,run2,vol0020,('test-GT-masks-WSU/binary/bin_mask_zpr_2031-T1_run2_vol0020.nii.gz',0.933471918,0.875243664
2031-T1,run2,vol0104,('test-GT-masks-WSU/binary/bin_mask_zpr_2031-T1_run2_vol0104.nii.gz',0.94182241,0.890041947
2033-T1,run2,vol0145,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T1_run2_vol0145.nii.gz',0.95594424,0.915606499
2033-T2,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0025.nii.gz',0.941948712,0.890267432
2033-T2,run1,vol0045,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0045.nii.gz',0.950702071,0.906036377
2033-T2,run1,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0060.nii.gz',0.954673588,0.913277984
2033-T2,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2033-T2_run1_vol0135.nii.gz',0.948640466,0.902298868
2035-T1,run1,vol0010,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0010.nii.gz',0.949358344,0.903598607
2035-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0025.nii.gz',0.965046883,0.932454705
2035-T1,run1,vol0073,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0073.nii.gz',0.963632584,0.929817498
2035-T1,run1,vol0122,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0122.nii.gz',0.959326923,0.921833158
2035-T1,run1,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run1_vol0170.nii.gz',0.958089411,0.919550598
2035-T1,run2,vol0057,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0057.nii.gz',0.964834273,0.932057738
2035-T1,run2,vol0063,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0063.nii.gz',0.955369651,0.914552748
2035-T1,run2,vol0089,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0089.nii.gz',0.959189177,0.921578705
2035-T1,run2,vol0159,('test-GT-masks-WSU/binary/bin_mask_zpr_2035-T1_run2_vol0159.nii.gz',0.962524295,0.927755892
2037-T1,run1,vol0063,('test-GT-masks-WSU/binary/bin_mask_zpr_2037-T1_run1_vol0063.nii.gz',0.926421106,0.862927854
2037-T1,run1,vol0112,('test-GT-masks-WSU/binary/bin_mask_zpr_2037-T1_run1_vol0112.nii.gz',0.932773054,0.874015749
2037-T1,run1,vol0130,('test-GT-masks-WSU/binary/bin_mask_zpr_2037-T1_run1_vol0130.nii.gz',0.944871068,0.895502865
2040-T1,run1,vol0018,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run1_vol0018.nii.gz',0.912979364,0.839891434
2040-T1,run1,vol0078,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run1_vol0078.nii.gz',0.909607708,0.83420229
2040-T1,run1,vol0165,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run1_vol0165.nii.gz',0.900126398,0.818390787
2040-T1,run2,vol0020,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run2_vol0020.nii.gz',0.896149516,0.811839581
2040-T1,run2,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run2_vol0080.nii.gz',0.905121744,0.826687098
2040-T1,run2,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2040-T1_run2_vol0150.nii.gz',0.907011867,0.829845965
2041-T1,run1,vol0044,('test-GT-masks-WSU/binary/bin_mask_zpr_2041-T1_run1_vol0044.nii.gz',0.902356088,0.822084606
2041-T1,run1,vol0110,('test-GT-masks-WSU/binary/bin_mask_zpr_2041-T1_run1_vol0110.nii.gz',0.937430143,0.882229209
2041-T1,run1,vol0166,('test-GT-masks-WSU/binary/bin_mask_zpr_2041-T1_run1_vol0166.nii.gz',0.913800836,0.841282904
2047-T1,run1,vol0017,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0017.nii.gz',0.933705509,0.875654459
2047-T1,run1,vol0065,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0065.nii.gz',0.923734844,0.858278155
2047-T1,run1,vol0095,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0095.nii.gz',0.909934103,0.834751427
2047-T1,run1,vol0166,('test-GT-masks-WSU/binary/bin_mask_zpr_2047-T1_run1_vol0166.nii.gz',0.909881592,0.834663093
2048-T1,run2,vol0035,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0035.nii.gz',0.91457963,0.842604041
2048-T1,run2,vol0066,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0066.nii.gz',0.913755953,0.841206849
2048-T1,run2,vol0094,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0094.nii.gz',0.92413789,0.858974338
2048-T1,run2,vol0122,('test-GT-masks-WSU/binary/bin_mask_zpr_2048-T1_run2_vol0122.nii.gz',0.904651642,0.825903177
2051-T1,run1,vol0012,('test-GT-masks-WSU/binary/bin_mask_zpr_2051-T1_run1_vol0012.nii.gz',0.950981617,0.906544268
2051-T1,run1,vol0050,('test-GT-masks-WSU/binary/bin_mask_zpr_2051-T1_run1_vol0050.nii.gz',0.949165523,0.903249264
2051-T1,run1,vol0130,('test-GT-masks-WSU/binary/bin_mask_zpr_2051-T1_run1_vol0130.nii.gz',0.94181633,0.890031099
2052-T1,run1,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2052-T1_run1_vol0060.nii.gz',0.950057149,0.904865623
2052-T1,run1,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2052-T1_run1_vol0115.nii.gz',0.940834105,0.888278365
2052-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2052-T1_run1_vol0135.nii.gz',0.931214869,0.871283531
2057-T1,run1,vol0015,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0015.nii.gz',0.959526122,0.922200978
2057-T1,run1,vol0070,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0070.nii.gz',0.937478006,0.882313967
2057-T1,run1,vol0109,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0109.nii.gz',0.904714465,0.826007843
2057-T1,run1,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2057-T1_run1_vol0170.nii.gz',0.951605439,0.907678783
2063-T1,run2,vol0032,('test-GT-masks-WSU/binary/bin_mask_zpr_2063-T1_run2_vol0032.nii.gz',0.966818392,0.935768127
2063-T1,run2,vol0105,('test-GT-masks-WSU/binary/bin_mask_zpr_2063-T1_run2_vol0105.nii.gz',0.953059852,0.910328865
2063-T1,run2,vol0171,('test-GT-masks-WSU/binary/bin_mask_zpr_2063-T1_run2_vol0171.nii.gz',0.950155914,0.905044794
2065-T1,run1,vol0032,('test-GT-masks-WSU/binary/bin_mask_zpr_2065-T1_run1_vol0032.nii.gz',0.952140152,0.908652246
2065-T1,run1,vol0093,('test-GT-masks-WSU/binary/bin_mask_zpr_2065-T1_run1_vol0093.nii.gz',0.956675529,0.916949153
2065-T1,run1,vol0130,('test-GT-masks-WSU/binary/bin_mask_zpr_2065-T1_run1_vol0130.nii.gz',0.94884938,0.90267694
2066-T1,run1,vol0030,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0030.nii.gz',0.944128394,0.894169748
2066-T1,run1,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0080.nii.gz',0.954069078,0.912172198
2066-T1,run1,vol0105,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0105.nii.gz',0.952505052,0.909317076
2066-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0135.nii.gz',0.947402239,0.900061071
2066-T1,run1,vol0165,('test-GT-masks-WSU/binary/bin_mask_zpr_2066-T1_run1_vol0165.nii.gz',0.949805081,0.904408276
2074-T1,run1,vol0026,('test-GT-masks-WSU/binary/bin_mask_zpr_2074-T1_run1_vol0026.nii.gz',0.969965637,0.941682816
2074-T1,run1,vol0150,('test-GT-masks-WSU/binary/bin_mask_zpr_2074-T1_run1_vol0150.nii.gz',0.969634116,0.94105798
2076-T1,run2,vol0008,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0008.nii.gz',0.968022645,0.938026965
2076-T1,run2,vol0055,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0055.nii.gz',0.960785449,0.924530387
2076-T1,run2,vol0085,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0085.nii.gz',0.956922412,0.917402804
2076-T1,run2,vol0140,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0140.nii.gz',0.967063248,0.936227024
2076-T1,run2,vol0175,('test-GT-masks-WSU/binary/bin_mask_zpr_2076-T1_run2_vol0175.nii.gz',0.970834017,0.943321168
2079-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2079-T1_run1_vol0025.nii.gz',0.933800578,0.875821769
2079-T1,run1,vol0083,('test-GT-masks-WSU/binary/bin_mask_zpr_2079-T1_run1_vol0083.nii.gz',0.940138519,0.887039006
2079-T1,run1,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2079-T1_run1_vol0115.nii.gz',0.942958236,0.892072797
2079-T1,run1,vol0167,('test-GT-masks-WSU/binary/bin_mask_zpr_2079-T1_run1_vol0167.nii.gz',0.943993747,0.89392823
2081-T1,run1,vol0063,('test-GT-masks-WSU/binary/bin_mask_zpr_2081-T1_run1_vol0063.nii.gz',0.942405045,0.891083062
2081-T1,run1,vol0119,('test-GT-masks-WSU/binary/bin_mask_zpr_2081-T1_run1_vol0119.nii.gz',0.95037657,0.905445278
2081-T1,run1,vol0157,('test-GT-masks-WSU/binary/bin_mask_zpr_2081-T1_run1_vol0157.nii.gz',0.950932086,0.906454265
2084-T1,run2,vol0036,('test-GT-masks-WSU/binary/bin_mask_zpr_2084-T1_run2_vol0036.nii.gz',0.938575625,0.884260476
2084-T1,run2,vol0050,('test-GT-masks-WSU/binary/bin_mask_zpr_2084-T1_run2_vol0050.nii.gz',0.926617086,0.863267958
2084-T1,run2,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2084-T1_run2_vol0080.nii.gz',0.916059434,0.845119536
2084-T1,run2,vol0110,('test-GT-masks-WSU/binary/bin_mask_zpr_2084-T1_run2_vol0110.nii.gz',0.920346498,0.852446258
2086-T1,run1,vol0013,('test-GT-masks-WSU/binary/bin_mask_zpr_2086-T1_run1_vol0013.nii.gz',0.926595747,0.863230944
2086-T1,run1,vol0090,('test-GT-masks-WSU/binary/bin_mask_zpr_2086-T1_run1_vol0090.nii.gz',0.93176657,0.872250021
2086-T1,run1,vol0163,('test-GT-masks-WSU/binary/bin_mask_zpr_2086-T1_run1_vol0163.nii.gz',0.924230218,0.859133899
2091-T1,run2,vol0046,('test-GT-masks-WSU/binary/bin_mask_zpr_2091-T1_run2_vol0046.nii.gz',0.929030418,0.867466688
2091-T1,run2,vol0111,('test-GT-masks-WSU/binary/bin_mask_zpr_2091-T1_run2_vol0111.nii.gz',0.917374253,0.847360551
2091-T1,run2,vol0173,('test-GT-masks-WSU/binary/bin_mask_zpr_2091-T1_run2_vol0173.nii.gz',0.942912996,0.891991854
2095-T1,run2,vol0017,('test-GT-masks-WSU/binary/bin_mask_zpr_2095-T1_run2_vol0017.nii.gz',0.953730702,0.9115538
2095-T1,run2,vol0055,('test-GT-masks-WSU/binary/bin_mask_zpr_2095-T1_run2_vol0055.nii.gz',0.944345474,0.894559205
2095-T1,run2,vol0125,('test-GT-masks-WSU/binary/bin_mask_zpr_2095-T1_run2_vol0125.nii.gz',0.92440486,0.859435618
2095-T1,run2,vol0163,('test-GT-masks-WSU/binary/bin_mask_zpr_2095-T1_run2_vol0163.nii.gz',0.957140863,0.917804599
2100-T2,run2,vol0011,('test-GT-masks-WSU/binary/bin_mask_zpr_2100-T2_run2_vol0011.nii.gz',0.960953176,0.924841046
2100-T2,run2,vol0029,('test-GT-masks-WSU/binary/bin_mask_zpr_2100-T2_run2_vol0029.nii.gz',0.910321116,0.835403085
